timestamp,patients_arrived,ambulance_arrivals,patients_waiting,patients_treated,beds_total,beds_occupied,beds_available,doctors_available,nurses_available,support_staff_available,average_wait_time,average_treatment_time,admissions,discharges,arrival_rate_per_hour,treatment_rate_per_hour,bed_occupancy_rate,staff_capacity_score,congestion_score,high_congestion_next_60min
2026-09-01 00:00,0,0,0,6,70,36,34,8,16,6,18.0,32.7,1,1,16,23,0.5143,0.5267,8.7,0
2026-09-01 00:15,1,0,0,1,70,36,34,8,16,5,18.1,32.5,0,0,12,18,0.5143,0.51,9.0,0
2026-09-01 00:30,0,0,0,0,70,35,35,8,17,8,17.7,33.2,0,1,6,13,0.5,0.575,7.0,0
2026-09-01 00:45,0,0,0,0,70,34,36,8,18,6,17.1,34.4,0,1,1,7,0.4857,0.5567,6.1,0
2026-09-01 01:00,1,0,0,1,70,34,36,10,18,6,17.6,34.5,0,0,2,2,0.4857,0.6033,7.3,0
2026-09-01 01:15,1,0,0,1,70,34,36,7,16,5,19.1,35.4,1,1,2,2,0.4857,0.4867,9.7,0
2026-09-01 01:30,0,0,0,0,70,34,36,8,16,5,20.0,36.4,0,0,2,2,0.4857,0.51,9.8,0
2026-09-01 01:45,3,0,0,3,70,33,37,8,17,6,19.9,36.3,0,1,5,5,0.4714,0.5417,8.9,0
2026-09-01 02:00,2,0,0,2,70,33,37,8,15,6,20.3,37.0,0,0,6,6,0.4714,0.5117,9.6,0
2026-09-01 02:15,2,0,0,2,70,33,37,8,17,7,20.1,37.1,0,0,7,7,0.4714,0.5583,8.8,0
2026-09-01 02:30,0,0,0,0,70,32,38,8,16,5,20.3,36.0,0,1,7,7,0.4571,0.51,9.6,0
2026-09-01 02:45,1,0,0,1,70,32,38,7,18,6,19.7,36.2,0,0,5,5,0.4571,0.5333,8.9,0
2026-09-01 03:00,2,0,0,2,70,32,38,8,16,6,20.2,35.8,1,1,5,5,0.4571,0.5267,9.3,0
2026-09-01 03:15,0,0,0,0,70,31,39,9,15,6,21.2,36.4,0,1,3,3,0.4429,0.535,9.6,0
2026-09-01 03:30,0,0,0,0,70,30,40,8,16,6,20.3,36.2,0,1,3,3,0.4286,0.5267,9.3,0
2026-09-01 03:45,1,0,0,1,70,29,41,9,15,6,19.2,35.5,0,1,3,3,0.4143,0.535,8.7,0
2026-09-01 04:00,1,0,0,1,70,29,41,8,17,6,20.6,35.8,0,0,2,2,0.4143,0.5417,9.3,0
2026-09-01 04:15,2,0,0,2,70,29,41,7,17,5,20.0,36.0,1,1,4,4,0.4143,0.5017,9.6,0
2026-09-01 04:30,3,0,0,3,70,29,41,7,16,7,19.3,36.5,0,0,7,7,0.4143,0.52,9.0,0
2026-09-01 04:45,4,1,0,4,70,29,41,8,16,6,19.6,35.8,1,1,10,10,0.4143,0.5267,9.0,0
2026-09-01 05:00,2,0,0,2,70,29,41,8,17,5,20.2,36.4,1,1,11,11,0.4143,0.525,9.3,0
2026-09-01 05:15,5,1,0,5,70,30,40,7,18,7,20.1,36.4,2,1,14,14,0.4286,0.55,8.9,0
2026-09-01 05:30,0,0,0,0,70,30,40,7,15,6,20.8,35.7,0,0,11,11,0.4286,0.4883,10.1,0
2026-09-01 05:45,3,0,0,3,70,31,39,8,17,6,21.9,36.1,1,0,10,10,0.4429,0.5417,9.9,0
2026-09-01 06:00,1,0,0,1,70,30,40,7,17,6,20.6,36.0,0,1,9,9,0.4286,0.5183,9.6,0
2026-09-01 06:15,5,1,0,5,70,30,40,8,16,7,21.1,35.7,0,0,9,9,0.4286,0.5433,9.5,0
2026-09-01 06:30,2,0,0,2,70,30,40,8,17,5,21.9,36.5,0,0,11,11,0.4286,0.525,10.1,0
2026-09-01 06:45,3,0,0,3,70,30,40,8,16,6,21.8,36.5,1,1,11,11,0.4286,0.5267,10.1,0
2026-09-01 07:00,6,1,0,6,70,31,39,13,29,10,19.5,35.8,1,0,16,16,0.4429,0.905,3.4,0
2026-09-01 07:15,5,1,0,5,70,31,39,14,28,11,17.8,35.5,1,1,16,16,0.4429,0.93,2.4,0
2026-09-01 07:30,5,1,0,5,70,32,38,15,26,11,17.1,35.0,2,1,19,19,0.4571,0.9233,2.4,0
2026-09-01 07:45,5,1,0,5,70,32,38,14,27,11,16.1,34.4,1,1,21,21,0.4571,0.915,2.5,0
2026-09-01 08:00,2,0,0,2,70,31,39,14,26,11,15.0,34.4,1,2,17,17,0.4429,0.9,1.8,0
2026-09-01 08:15,6,1,0,6,70,32,38,14,28,11,14.5,33.8,2,1,18,18,0.4571,0.93,1.6,0
2026-09-01 08:30,6,1,0,6,70,31,39,14,27,11,14.4,33.8,1,2,19,19,0.4429,0.915,1.9,0
2026-09-01 08:45,4,1,0,4,70,32,38,15,27,10,13.5,33.6,2,1,18,18,0.4571,0.9217,1.6,0
2026-09-01 09:00,9,1,0,9,70,31,39,13,26,10,14.2,33.4,1,2,25,25,0.4429,0.86,4.3,0
2026-09-01 09:15,2,0,0,2,70,31,39,13,29,10,15.0,33.7,1,1,21,21,0.4429,0.905,2.6,0
2026-09-01 09:30,5,1,0,5,70,30,40,14,25,9,14.6,34.3,1,2,20,20,0.4286,0.8517,3.1,0
2026-09-01 09:45,4,1,0,4,70,31,39,15,27,10,13.4,33.2,1,0,20,20,0.4429,0.9217,2.1,0
2026-09-01 10:00,7,1,0,7,70,31,39,14,28,12,11.8,33.2,2,2,18,18,0.4429,0.9467,1.6,0
2026-09-01 10:15,5,1,0,5,70,31,39,13,28,11,12.0,32.8,1,1,21,21,0.4429,0.9067,2.6,0
2026-09-01 10:30,3,0,0,3,70,30,40,14,26,12,12.7,33.3,1,2,19,19,0.4286,0.9167,1.9,0
2026-09-01 10:45,4,0,0,4,70,30,40,14,26,10,12.8,33.9,1,1,19,19,0.4286,0.8833,2.4,0
2026-09-01 11:00,3,0,0,3,70,28,42,13,27,12,12.3,33.6,0,2,15,15,0.4,0.9083,1.7,0
2026-09-01 11:15,6,1,0,6,70,28,42,14,28,11,13.1,34.5,1,1,16,16,0.4,0.93,1.6,0
2026-09-01 11:30,4,0,0,4,70,26,44,13,28,10,13.4,34.2,0,2,17,17,0.3714,0.89,2.0,0
2026-09-01 11:45,8,1,0,8,70,25,45,14,27,10,13.5,33.4,1,2,21,21,0.3571,0.8983,2.7,0
2026-09-01 12:00,3,0,0,3,70,25,45,14,25,10,13.9,32.8,1,1,21,21,0.3571,0.8683,3.1,0
2026-09-01 12:15,8,1,0,8,70,24,46,14,29,9,13.6,32.8,2,3,23,23,0.3429,0.9117,3.0,0
2026-09-01 12:30,10,1,0,10,70,23,47,14,28,10,13.7,32.6,2,3,29,29,0.3286,0.9133,4.7,0
2026-09-01 12:45,7,1,0,7,70,23,47,15,24,11,13.2,32.1,2,2,28,28,0.3286,0.8933,4.7,0
2026-09-01 13:00,7,1,0,7,70,22,48,15,26,11,13.7,31.6,1,2,32,32,0.3143,0.9233,5.4,0
2026-09-01 13:15,8,1,0,8,70,21,49,15,29,11,13.4,31.6,2,3,32,32,0.3,0.9683,5.4,0
2026-09-01 13:30,8,1,0,8,70,21,49,15,28,11,12.1,32.4,2,2,30,30,0.3,0.9533,4.8,0
2026-09-01 13:45,8,1,0,8,70,22,48,14,26,10,12.9,32.2,2,1,31,31,0.3143,0.8833,5.6,0
2026-09-01 14:00,7,1,0,7,70,21,49,15,25,10,12.8,32.3,1,2,31,31,0.3,0.8917,5.5,0
2026-09-01 14:15,7,1,0,7,70,22,48,15,26,12,12.6,32.2,2,1,30,30,0.3143,0.94,4.8,0
2026-09-01 14:30,3,0,0,3,70,21,49,14,26,10,13.1,31.6,1,2,25,25,0.3,0.8833,4.0,0
2026-09-01 14:45,7,1,0,7,70,20,50,14,27,11,12.2,31.2,1,3,24,24,0.2857,0.915,3.3,0
2026-09-01 15:00,11,1,3,8,70,21,49,13,21,9,13.6,31.3,3,2,28,25,0.3,0.7683,8.8,0
2026-09-01 15:15,4,0,0,7,70,21,49,11,23,7,14.6,32.1,2,2,25,25,0.3,0.7183,6.4,0
2026-09-01 15:30,5,0,0,5,70,21,49,11,22,8,13.5,32.8,1,1,27,27,0.3,0.72,6.9,0
2026-09-01 15:45,5,0,0,5,70,21,49,11,26,9,14.2,32.4,2,2,25,25,0.3,0.7967,5.3,0
2026-09-01 16:00,8,1,0,8,70,21,49,12,25,8,14.6,32.6,1,1,22,25,0.3,0.7883,3.0,0
2026-09-01 16:15,9,1,0,9,70,22,48,13,24,9,14.5,32.5,3,2,27,27,0.3143,0.8133,5.6,0
2026-09-01 16:30,5,0,0,5,70,21,49,13,23,8,14.0,32.6,1,2,27,27,0.3,0.7817,6.0,0
2026-09-01 16:45,6,0,0,6,70,20,50,12,21,8,13.4,33.3,1,2,28,28,0.2857,0.7283,7.1,0
2026-09-01 17:00,6,0,0,6,70,20,50,14,23,8,12.5,33.5,0,0,26,26,0.2857,0.805,5.4,0
2026-09-01 17:15,8,0,0,8,70,22,48,12,22,10,12.2,34.0,2,0,25,25,0.3143,0.7767,5.5,0
2026-09-01 17:30,8,0,0,8,70,23,47,13,22,8,11.8,33.9,2,1,28,28,0.3286,0.7667,6.5,0
2026-09-01 17:45,6,0,0,6,70,26,44,11,22,9,11.8,34.5,3,0,28,28,0.3714,0.7367,6.9,0
2026-09-01 18:00,14,1,6,8,70,27,43,12,25,9,14.3,34.6,2,1,36,30,0.3857,0.805,15.7,0
2026-09-01 18:15,12,1,10,8,70,28,42,12,23,8,18.2,34.6,2,1,40,30,0.4,0.7583,25.5,0
2026-09-01 18:30,9,1,11,8,70,30,40,13,22,9,21.4,35.6,3,1,41,30,0.4286,0.7833,28.4,0
2026-09-01 18:45,8,0,12,7,70,30,40,11,21,9,23.7,36.3,2,2,43,31,0.4286,0.7217,32.1,0
2026-09-01 19:00,13,1,17,8,70,31,39,13,23,8,27.7,36.0,3,2,42,31,0.4429,0.7817,37.2,0
2026-09-01 19:15,7,0,16,8,70,32,38,12,22,8,32.7,35.6,2,1,37,31,0.4571,0.7433,34.4,0
2026-09-01 19:30,5,0,12,9,70,34,36,13,22,9,33.2,36.4,3,1,33,32,0.4857,0.7833,25.6,0
2026-09-01 19:45,7,0,11,8,70,35,35,11,23,8,33.9,36.5,2,1,32,33,0.5,0.735,24.7,0
2026-09-01 20:00,10,1,12,9,70,36,34,12,24,8,33.2,36.6,2,1,29,34,0.5143,0.7733,24.0,0
2026-09-01 20:15,9,1,11,10,70,38,32,12,22,8,32.6,36.9,2,0,31,36,0.5429,0.7433,25.5,0
2026-09-01 20:30,13,1,17,7,70,38,32,12,25,8,34.0,37.0,2,2,39,34,0.5429,0.7633,39.2,0
2026-09-01 20:45,10,1,19,8,70,39,31,12,23,8,36.9,36.3,2,1,42,34,0.5571,0.7183,46.6,0
2026-09-01 21:00,7,1,18,8,70,40,30,13,22,7,39.0,37.0,2,1,39,33,0.5714,0.71,45.8,0
2026-09-01 21:15,5,0,13,10,70,42,28,13,23,9,37.6,37.3,2,0,35,33,0.6,0.7733,36.9,0
2026-09-01 21:30,7,1,12,8,70,42,28,12,23,9,36.4,36.9,1,1,29,34,0.6,0.755,30.9,0
2026-09-01 21:45,11,1,16,7,70,41,29,13,23,9,36.6,37.0,1,2,30,33,0.5857,0.7633,34.1,0
2026-09-01 22:00,10,1,16,10,70,42,28,13,23,9,36.1,36.3,2,1,33,35,0.6,0.7583,35.6,0
2026-09-01 22:15,3,0,13,6,70,43,27,13,22,8,35.5,37.7,2,1,31,31,0.6143,0.7367,34.6,0
2026-09-01 22:30,2,0,5,10,70,46,24,13,23,7,33.6,38.1,3,0,26,33,0.6571,0.76,25.3,0
2026-09-01 22:45,4,0,1,8,70,46,24,12,24,8,28.1,37.5,1,1,19,34,0.6571,0.7733,18.7,0
2026-09-01 23:00,3,0,0,4,70,47,23,8,18,7,25.7,37.1,1,0,12,28,0.6714,0.5733,21.0,0
2026-09-01 23:15,4,0,0,4,70,47,23,8,17,5,25.1,37.8,1,1,13,26,0.6714,0.525,21.4,0
2026-09-01 23:30,4,0,0,4,70,47,23,8,17,6,23.4,38.7,1,1,15,20,0.6714,0.5417,20.4,0
2026-09-01 23:45,1,0,0,1,70,47,23,8,17,5,22.4,38.9,1,1,12,13,0.6714,0.525,20.9,0
2026-09-02 00:00,1,0,0,1,70,45,25,8,16,7,21.0,39.7,0,2,10,10,0.6429,0.5433,19.1,0
2026-09-02 00:15,1,0,0,1,70,45,25,9,16,6,20.0,39.0,0,0,7,7,0.6429,0.55,18.5,0
2026-09-02 00:30,3,0,0,3,70,46,24,8,16,6,21.1,39.3,1,0,6,6,0.6571,0.5267,20.2,0
2026-09-02 00:45,0,0,0,0,70,45,25,8,16,6,20.2,39.4,0,1,5,5,0.6429,0.5267,18.9,0
2026-09-02 01:00,2,0,0,2,70,45,25,9,16,7,20.6,39.4,0,0,6,6,0.6429,0.5667,18.5,0
2026-09-02 01:15,0,0,0,0,70,44,26,10,17,6,19.1,38.8,0,1,5,5,0.6286,0.5883,16.6,0
2026-09-02 01:30,1,0,0,1,70,45,25,8,16,6,19.8,38.9,1,0,3,3,0.6429,0.5267,18.7,0
2026-09-02 01:45,1,0,0,1,70,44,26,8,16,6,20.2,39.2,0,1,4,4,0.6286,0.5267,18.1,0
2026-09-02 02:00,3,0,0,3,70,44,26,8,16,5,22.0,39.1,1,1,5,5,0.6286,0.51,19.2,0
2026-09-02 02:15,0,0,0,0,70,44,26,8,17,5,21.5,39.4,0,0,5,5,0.6286,0.525,18.7,0
2026-09-02 02:30,1,0,0,1,70,43,27,8,17,6,22.0,39.9,0,1,5,5,0.6143,0.5417,17.9,0
2026-09-02 02:45,2,0,0,2,70,43,27,8,18,6,21.4,39.3,0,0,6,6,0.6143,0.5567,17.4,0
2026-09-02 03:00,2,0,0,2,70,43,27,8,16,5,20.3,38.4,0,0,5,5,0.6143,0.51,17.5,0
2026-09-02 03:15,0,0,0,0,70,43,27,8,17,6,20.1,37.9,0,0,5,5,0.6143,0.5417,17.0,0
2026-09-02 03:30,1,0,0,1,70,42,28,7,16,5,21.2,37.7,0,1,5,5,0.6,0.4867,17.4,0
2026-09-02 03:45,4,1,2,2,70,40,30,6,16,5,27.3,37.6,0,2,7,5,0.5714,0.4633,20.6,0
2026-09-02 04:00,2,0,0,4,70,39,31,10,16,6,25.0,38.5,0,1,7,7,0.5571,0.5733,15.5,0
2026-09-02 04:15,0,0,0,0,70,39,31,8,17,6,24.4,38.1,0,0,7,7,0.5571,0.5417,15.6,0
2026-09-02 04:30,1,0,0,1,70,40,30,7,17,7,22.2,38.9,1,0,7,7,0.5714,0.535,15.5,0
2026-09-02 04:45,2,0,0,2,70,39,31,8,16,7,22.0,39.0,1,2,5,7,0.5571,0.5433,12.9,0
2026-09-02 05:00,1,0,0,1,70,39,31,7,17,6,21.9,38.9,0,0,4,4,0.5571,0.5183,14.8,0
2026-09-02 05:15,3,0,0,3,70,40,30,8,16,6,22.2,38.8,1,0,7,7,0.5714,0.5267,15.6,0
2026-09-02 05:30,3,0,0,3,70,40,30,9,17,5,22.0,38.9,1,1,9,9,0.5714,0.5483,15.2,0
2026-09-02 05:45,3,0,0,3,70,41,29,8,15,6,21.8,39.3,2,1,10,10,0.5857,0.5117,16.5,0
2026-09-02 06:00,3,0,0,3,70,42,28,8,17,6,21.3,38.5,1,0,12,12,0.6,0.5417,16.7,0
2026-09-02 06:15,2,0,0,2,70,41,29,9,18,6,20.4,38.6,0,1,11,11,0.5857,0.58,14.9,0
2026-09-02 06:30,6,1,2,4,70,43,27,7,16,6,23.5,38.4,2,0,14,12,0.6143,0.5033,20.7,0
2026-09-02 06:45,1,0,0,3,70,43,27,8,16,7,23.6,39.0,2,2,12,12,0.6143,0.5433,18.6,0
2026-09-02 07:00,1,0,0,1,70,44,26,14,28,10,21.6,38.9,1,0,10,10,0.6286,0.9133,13.1,0
2026-09-02 07:15,2,0,0,2,70,44,26,12,28,10,18.7,39.4,1,1,10,10,0.6286,0.8667,12.4,0
2026-09-02 07:30,4,1,0,4,70,44,26,15,28,10,16.9,39.2,0,0,8,10,0.6286,0.9367,9.2,0
2026-09-02 07:45,5,1,0,5,70,45,25,13,27,11,13.9,38.7,1,0,12,12,0.6429,0.8917,11.6,0
2026-09-02 08:00,4,1,0,4,70,45,25,15,28,11,13.1,37.9,1,1,15,15,0.6429,0.9533,11.2,0
2026-09-02 08:15,3,0,0,3,70,43,27,14,27,11,13.6,37.4,0,2,16,16,0.6143,0.915,9.6,0
2026-09-02 08:30,6,1,0,6,70,42,28,14,28,9,12.9,37.0,1,2,18,18,0.6,0.8967,9.0,0
2026-09-02 08:45,5,1,0,5,70,41,29,14,26,11,12.8,36.4,1,2,18,18,0.5857,0.9,8.1,0
2026-09-02 09:00,4,1,0,4,70,40,30,13,27,10,12.4,35.9,1,2,18,18,0.5714,0.875,7.6,0
